MA BR(a->b+b~) Xsec effective Xsec (Xsec*BR)
600 100 100 9.543522e-01 0.44489 0.424582
600 100 150 9.543522e-01 0.446 0.425641
600 100 200 9.543522e-01 0.4496 0.429077
600 100 250 9.543522e-01 0.45225000000000004 0.431606
600 100 300 9.543522e-01 0.46458 0.443373
600 100 350 9.543522e-01 0.46623000000000003 0.444948
600 100 400 9.543522e-01 0.465 0.443774
600 100 450 9.543522e-01 0.46572 0.444461
600 100 500 9.543522e-01 0.46406000000000003 0.442877
600 150 100 9.544445e-01 0.36815 0.351379
600 150 150 9.544445e-01 0.37051999999999996 0.353641
600 150 200 9.544445e-01 0.37388999999999994 0.356857
600 150 250 9.544445e-01 0.37683 0.359663
600 150 300 9.544445e-01 0.38937 0.371632
600 150 350 9.544445e-01 0.38966 0.371909
600 150 400 9.544445e-01 0.38898 0.37126
600 150 450 9.544445e-01 0.3871 0.369465
600 150 500 9.544445e-01 0.38883 0.371117
600 200 150 9.544766e-01 0.287412 0.274328
600 200 200 9.544766e-01 0.28997300000000004 0.276772
600 200 250 9.544766e-01 0.292814 0.279484
600 200 300 9.544766e-01 0.304555 0.290691
600 200 350 9.544766e-01 0.304328 0.290474
600 200 400 9.544766e-01 0.304087 0.290244
600 200 450 9.544766e-01 0.30456 0.290695
600 200 500 9.544766e-01 0.304284 0.290432
600 250 150 9.544794e-01 0.20344700000000002 0.194186
600 250 200 9.544794e-01 0.20594 0.196565
600 250 250 9.544794e-01 0.20877700000000002 0.199273
600 250 300 9.544794e-01 0.218554 0.208605
600 250 350 9.544794e-01 0.218327 0.208389
600 250 400 9.544794e-01 0.21920900000000001 0.20923
600 250 450 9.544794e-01 0.218817 0.208856
600 250 500 9.544794e-01 0.21819 0.208258
600 300 200 7.715690e-01 0.140237 0.108203
600 300 250 7.715690e-01 0.142511 0.109957
600 300 300 7.715690e-01 0.15086300000000002 0.116401
600 300 350 7.715690e-01 0.150019 0.11575
600 300 400 7.715690e-01 0.150378 0.116027
600 300 450 7.715690e-01 0.150595 0.116194
600 300 500 7.715690e-01 0.150856 0.116396
600 350 200 4.031407e-03 0.0876084 0.000353185
600 350 250 4.031407e-03 0.08976160000000001 0.000361866
600 350 300 4.031407e-03 0.09515 0.000383588
600 350 350 4.031407e-03 0.09522459999999999 0.000383889
600 350 400 4.031407e-03 0.0949473 0.000382771
600 350 450 4.031407e-03 0.0953185 0.000384268
600 350 500 4.031407e-03 0.095415 0.000384657
600 400 250 1.460607e-03 0.0454899 6.64429e-05
600 400 300 1.460607e-03 0.0486773 7.10984e-05
600 400 350 1.460607e-03 0.0485994 7.09846e-05
600 400 400 1.460607e-03 0.0486699 7.10876e-05
600 400 450 1.460607e-03 0.048666 7.10819e-05
600 400 500 1.460607e-03 0.0485265 7.08781e-05
600 450 250 1.156556e-03 0.0116396 1.34618e-05
600 450 300 1.156556e-03 0.012699 1.46871e-05
600 450 350 1.156556e-03 0.012723700000000001 1.47157e-05
600 450 400 1.156556e-03 0.012718400000000001 1.47095e-05
600 450 450 1.156556e-03 0.012716499999999999 1.47073e-05
600 450 500 1.156556e-03 0.012747600000000001 1.47433e-05
1000 100 100 9.543522e-01 0.066535 0.0634978
1000 100 150 9.543522e-01 0.06659899999999999 0.0635589
1000 100 200 9.543522e-01 0.066658 0.0636152
1000 100 250 9.543522e-01 0.066889 0.0638357
1000 100 300 9.543522e-01 0.06711 0.0640466
1000 100 350 9.543522e-01 0.067295 0.0642231
1000 100 400 9.543522e-01 0.067096 0.0640332
1000 100 450 9.543522e-01 0.06746 0.0643806
1000 100 500 9.543522e-01 0.06814 0.0650296
1000 150 100 9.544445e-01 0.052074999999999996 0.0497027
1000 150 150 9.544445e-01 0.052379999999999996 0.0499938
1000 150 200 9.544445e-01 0.052006000000000004 0.0496368
1000 150 250 9.544445e-01 0.052469 0.0500787
1000 150 300 9.544445e-01 0.052771 0.050367
1000 150 350 9.544445e-01 0.052704 0.050303
1000 150 400 9.544445e-01 0.05284 0.0504328
1000 150 450 9.544445e-01 0.05332 0.050891
1000 150 500 9.544445e-01 0.053613 0.0511706
1000 200 150 9.544766e-01 0.0412553 0.0393772
1000 200 200 9.544766e-01 0.0413735 0.03949
1000 200 250 9.544766e-01 0.0414778 0.0395896
1000 200 300 9.544766e-01 0.0415026 0.0396133
1000 200 350 9.544766e-01 0.0417186 0.0398194
1000 200 400 9.544766e-01 0.0418365 0.039932
1000 250 150 9.544780e-01 0.033174800000000004 0.0316646
1000 200 250 9.544766e-01 0.0330304 0.0315267
1000 250 200 9.544896e-01 0.041942600000000003 0.0400338
1000 200 300 9.544766e-01 0.0330944 0.0315878
1000 250 250 9.544798e-01 0.0423093 0.0403834
1000 200 350 9.544621e-01 0.0330642 0.0315585
1000 250 300 9.544780e-01 0.0422819 0.0403571
1000 200 400 9.544766e-01 0.0333752 0.0318558
1000 250 350 9.544798e-01 0.042353299999999997 0.0404254
1000 200 450 9.544620e-01 0.0334311 0.0319087
1000 250 400 9.544780e-01 0.042766000000000005 0.0408192
1000 200 500 9.544598e-01 0.0341594 0.0326038
1000 250 450 9.544798e-01 0.0343338 0.0327709
1000 250 150 9.544798e-01 0.0333328 0.0318155
1000 250 500 9.544798e-01 0.0349942 0.0334013
1000 250 200 9.544780e-01 0.0276911 0.0264305
1000 300 200 7.731485e-01 0.034214999999999995 0.0264533
1000 250 250 9.544468e-01 0.0278462 0.0265777
1000 300 250 7.746404e-01 0.0344404 0.0266789
1000 250 300 7.746404e-01 0.028000999999999998 0.0216907
1000 300 300 9.544914e-01 0.0287559 0.0274473
1000 300 350 7.746404e-01 0.0288622 0.0223578
1000 250 350 9.544467e-01 0.0281465 0.0268643
1000 300 400 9.544995e-01 0.0346895 0.0331111
1000 250 400 9.544780e-01 0.028071600000000002 0.0267937
1000 300 450 7.746404e-01 0.035072200000000005 0.0271683
1000 250 450 9.544468e-01 0.0283487 0.0270573
1000 300 500 0
1000 350 200 4.031407e-03 0.0261141 0.000105277
1000 250 500 9.543878e-01 0.0209683 0.0200119
1000 350 250 9.544995e-01 0.0263147 0.0251174
