MH   MA   widthH        widthA        FracWH     FracWA
470  230  1.616380e+01  4.163688e-02  0.0343911  0.00018103
500  230  2.376813e+01  5.710158e-02  0.0475363  0.000248268
550  230  3.605685e+01  9.757096e-02  0.0655579  0.000424222
550  250  3.110157e+01  1.594589e-01  0.0565483  0.000637836
600  230  5.018057e+01  1.604519e-01  0.0836343  0.000697617
600  250  4.522337e+01  2.780323e-01  0.0753723  0.00111213
650  230  6.693817e+01  2.508056e-01  0.102982   0.00109046
650  250  6.168715e+01  4.495074e-01  0.0949033  0.00179803
650  300  4.735018e+01  5.152980e-01  0.0728464  0.00171766
700  230  8.677119e+01  3.741332e-01  0.123959   0.00162667
700  250  8.111805e+01  6.845319e-01  0.115883   0.00273813
700  300  6.590447e+01  7.998206e-01  0.0941492  0.00266607
700  325  5.811089e+01  7.791357e-01  0.0830156  0.00239734
750  230  1.100187e+02  5.363760e-01  0.146692   0.00233207
750  250  1.039119e+02  9.946054e-01  0.138549   0.00397842
750  300  8.776936e+01  1.178477e+00  0.117026   0.00392826
750  325  7.898968e+01  1.153065e+00  0.10532    0.00354789
750  350  6.962056e+01  1.763759e+00  0.0928274  0.00503931
800  230  1.369802e+02  7.439154e-01  0.171225   0.00323441
800  250  1.303916e+02  1.392079e+00  0.16299    0.00556832
800  300  1.125772e+02  1.666921e+00  0.140721   0.0055564
800  325  1.036677e+02  1.637252e+00  0.129585   0.0050377
800  350  9.333344e+01  2.230677e+00  0.116667   0.00637336
