MH   MA   Fitted_sint  sint_error
470  230  0.0529193    0.561514
500  230  0.064187     0.55374
550  230  0.0682161    0.381605
550  250  0.0642466    0.385359
600  230  0.0692944    0.37732
600  250  0.0664829    0.365415
650  230  0.0858015    0.661232
650  250  0.0732687    0.663916
650  300  0.0632801    0.660199
700  230  0.0690289    0.387602
700  250  0.0861967    0.663093
700  300  0.0763437    0.666018
700  325  0.0705035    0.665695
750  230  0.0682056    0.386133
750  250  0.0656105    0.369969
750  300  0.0614064    0.434468
750  325  0.0587457    0.453216
750  350  0.0594798    0.57905
800  230  0.0670788    0.386208
800  250  0.0644957    0.36428
800  300  0.0610249    0.432596
800  325  0.059114     0.459059
800  350  0.05535      0.612074
