sinp                   lambda3  widthH        MH            widthA        MA            FracWH    FracWA
0.1                    2        8.596789e+01  7.000000e+02  1.481049e+00  2.300000e+02  0.122811  0.00643934
0.1                    3        9.289630e+01  7.000000e+02  1.036469e+00  2.300000e+02  0.132709  0.00450639
0.1                    4        1.024809e+02  7.000000e+02  6.775052e-01  2.300000e+02  0.146401  0.00294567
0.1                    6        1.296645e+02  7.000000e+02  2.164223e-01  2.300000e+02  0.185235  0.000940967
0.1                    8        1.691852e+02  7.000000e+02  9.780005e-02  2.300000e+02  0.241693  0.000425218
0.2                    2        8.678713e+01  7.000000e+02  5.748185e+00  2.300000e+02  0.123982  0.0249921
0.2                    3        9.341735e+01  7.000000e+02  4.023756e+00  2.300000e+02  0.133453  0.0174946
0.2                    4        1.034273e+02  7.000000e+02  2.631410e+00  2.300000e+02  0.147753  0.0114409
0.2                    6        1.308701e+02  7.000000e+02  8.429668e-01  2.300000e+02  0.186957  0.00366507
0.2                    8        1.707429e+02  7.000000e+02  3.828564e-01  2.300000e+02  0.243918  0.00166459
0.3                    2        8.815219e+01  7.000000e+02  1.229956e+01  2.300000e+02  0.125932  0.0534763
0.3                    3        9.487927e+01  7.000000e+02  8.621673e+00  2.300000e+02  0.135542  0.0374855
0.3                    4        1.050030e+02  7.000000e+02  5.652060e+00  2.300000e+02  0.150004  0.0245742
0.3                    6        1.328739e+02  7.000000e+02  1.837647e+00  2.300000e+02  0.18982   0.00798977
0.3                    8        1.733293e+02  7.000000e+02  8.563177e-01  2.300000e+02  0.247613  0.00372312
0.5                    2        9.251492e+01  7.000000e+02  2.855557e+01  2.300000e+02  0.132164  0.124155
0.5                    3        9.954580e+01  7.000000e+02  2.013551e+01  2.300000e+02  0.142208  0.0875457
0.5                    4        1.097123e+02  7.000000e+02  1.333694e+01  2.300000e+02  0.156732  0.0579867
0.5                    6        1.392412e+02  7.000000e+02  4.604312e+00  2.300000e+02  0.198916  0.0200187
0.5                    8        1.815235e+02  7.000000e+02  2.357680e+00  2.300000e+02  0.259319  0.0102508
.70710678118654752440  2        9.932158e+01  7.000000e+02  3.959225e+01  2.300000e+02  0.141888  0.17214
.70710678118654752440  3        1.068084e+02  7.000000e+02  2.836549e+01  2.300000e+02  0.152583  0.123328
.70710678118654752440  4        1.176342e+02  7.000000e+02  1.930074e+01  2.300000e+02  0.168049  0.0839163
.70710678118654752440  6        1.490522e+02  7.000000e+02  7.657232e+00  2.300000e+02  0.212932  0.0332923
.70710678118654752440  8        1.940765e+02  7.000000e+02  4.661721e+00  2.300000e+02  0.277252  0.0202684
