sinp                   lambda3  widthH        massH         widthA        massA         FracWH        FracWA
0.1                    2        2.260882e+01  5.000000e+02  2.224571e-01  2.300000e+02  0.0452176  0.000967205
0.1                    3        2.745377e+01  5.000000e+02  1.168162e-01  2.300000e+02  0.0549075  0.000507897
0.1                    4        3.446737e+01  5.000000e+02  9.679033e-02  2.300000e+02  0.0689347  0.000420828
0.1                    6        5.498413e+01  5.000000e+02  3.135842e-01  2.300000e+02  0.109968   0.00136341
0.1                    8        8.415362e+01  5.000000e+02  8.728388e-01  2.300000e+02  0.168307   0.00379495
0.2                    2        2.325205e+01  5.000000e+02  8.663748e-01  2.300000e+02  0.0465041  0.00376685
0.2                    3        2.833699e+01  5.000000e+02  4.566158e-01  2.300000e+02  0.056674   0.00198529
0.2                    4        3.569895e+01  5.000000e+02  3.789399e-01  2.300000e+02  0.0713979  0.00164756
0.2                    6        5.723477e+01  5.000000e+02  1.219837e+00  2.300000e+02  0.11447    0.00530364
0.2                    8        8.785309e+01  5.000000e+02  3.389067e+00  2.300000e+02  0.175706   0.0147351
0.3                    2        2.431940e+01  5.000000e+02  1.887572e+00  2.300000e+02  0.0486388  0.00820683
0.3                    3        2.979739e+01  5.000000e+02  1.013633e+00  2.300000e+02  0.0595948  0.0044071
0.3                    4        3.772994e+01  5.000000e+02  8.479645e-01  2.300000e+02  0.0754599  0.0036868
0.3                    6        6.093485e+01  5.000000e+02  2.641441e+00  2.300000e+02  0.12187    0.0114845
0.3                    8        9.392620e+01  5.000000e+02  7.268002e+00  2.300000e+02  0.187852   0.0316
0.5                    2        2.769557e+01  5.000000e+02  4.718609e+00  2.300000e+02  0.0553911  0.0205157
0.5                    3        3.437303e+01  5.000000e+02  2.717833e+00  2.300000e+02  0.0687461  0.0118167
0.5                    4        4.404722e+01  5.000000e+02  2.338556e+00  2.300000e+02  0.0880944  0.0101676
0.5                    6        7.234693e+01  5.000000e+02  6.444501e+00  2.300000e+02  0.144694   0.0280196
0.5                    8        1.125818e+02  5.000000e+02  1.703644e+01  2.300000e+02  0.225164   0.0740715
.70710678118654752440  2        3.282982e+01  5.000000e+02  7.809628e+00  2.300000e+02  0.0656596  0.0339549
.70710678118654752440  3        4.122457e+01  5.000000e+02  5.141926e+00  2.300000e+02  0.0824491  0.0223562
.70710678118654752440  4        5.336319e+01  5.000000e+02  4.636223e+00  2.300000e+02  0.106726   0.0201575
.70710678118654752440  6        8.887206e+01  5.000000e+02  1.011082e+01  2.300000e+02  0.177744   0.0439601
.70710678118654752440  8        1.393564e+02  5.000000e+02  2.423341e+01  2.300000e+02  0.278713   0.105363
