MH   MA   Fitted_lam3  lam3_error
470  230  10           6.62809
500  230  1.5285       5.50861
550  230  2.00953      8.00651
550  250  2.33535      8.01984
600  230  2.56739      8.13344
600  250  2.96003      7.28874
650  230  10           8.03551
650  250  10           7.23854
650  300  10           6.45202
700  230  3.9112       7.37412
700  250  10           8.53376
700  300  10           8.14498
700  325  10           7.68154
750  230  4.68963      6.47949
750  250  5.30628      6.75935
750  300  5.25668      6.55163
750  325  5.12995      6.68756
750  350  1            6.36214
800  230  5.51745      4.56251
800  250  6.22941      6.20888
800  300  6.19721      6.40139
800  325  6.06224      6.4679
800  350  1            8.44238
