MH   MA   Fitted_sint  sint_error
470  230  0.0529169    0.561488
500  230  0.064186     0.553709
550  230  0.0682146    0.381571
550  250  0.0642453    0.385356
600  230  0.0692924    0.377338
600  250  0.0664808    0.365389
650  230  0.0857936    0.66122
650  250  0.0732631    0.663899
650  300  0.0632766    0.660182
700  230  0.0690261    0.387595
700  250  0.0861895    0.663105
700  300  0.076339     0.666011
700  325  0.0705004    0.665686
750  230  0.0682022    0.38612
750  250  0.065607     0.370029
750  300  0.0614037    0.434526
750  325  0.0587435    0.453263
750  350  0.0594798    0.579048
800  230  0.067075     0.386196
800  250  0.0644917    0.364345
800  300  0.0610217    0.432663
800  325  0.0591114    0.459117
800  350  0.0553499    0.612073
