MH   MA   Fitted_tanb  tanb_error
470  230  1.48652      1.07069
500  230  2.35148      7.98392
550  230  2.12429      8.02052
550  250  2.1412       7.21783
600  230  1.98348      7.14409
600  250  1.96889      6.18576
650  230  1.41786      1.15575
650  250  1.45574      1.15666
650  300  1.54501      1.40395
700  230  1.7893       6.07134
700  250  1.43075      1.3101
700  300  1.49928      1.43663
700  325  1.5605       1.63638
750  230  1.7187       5.80787
750  250  1.69514      5.21456
750  300  1.76306      5.24164
750  325  1.82402      5.41749
750  350  3.89955      5.35669
800  230  1.65818      5.65886
800  250  1.63517      5.12306
800  300  1.68557      5.0963
800  325  1.72829      5.1822
800  350  3.75469      5.83381
