widthH        MH            widthA        MA            FracWH     FracWA
3.229550e+01  4.700000e+02  5.797484e-01  2.300000e+02  0.0687138  0.00252065
2.131214e+01  5.000000e+02  1.257335e-01  2.300000e+02  0.0426243  0.000546667
3.500627e+01  5.500000e+02  1.791138e-01  2.300000e+02  0.0636478  0.000778756
3.210857e+01  5.500000e+02  2.076932e-01  2.500000e+02  0.0583792  0.000830773
5.192492e+01  6.000000e+02  2.300290e-01  2.300000e+02  0.0865415  0.00100013
4.918443e+01  6.000000e+02  2.786013e-01  2.500000e+02  0.081974   0.00111441
9.897696e+01  6.500000e+02  4.419397e-01  2.300000e+02  0.152272   0.00192148
9.539431e+01  6.500000e+02  6.058513e-01  2.500000e+02  0.14676    0.00242341
7.639135e+01  6.500000e+02  6.409240e-01  3.000000e+02  0.117525   0.00213641
9.661398e+01  7.000000e+02  3.399044e-01  2.300000e+02  0.13802    0.00147785
1.141254e+02  7.000000e+02  4.306140e-01  2.500000e+02  0.163036   0.00172246
9.793127e+01  7.000000e+02  4.966054e-01  3.000000e+02  0.139902   0.00165535
8.756763e+01  7.000000e+02  4.823444e-01  3.250000e+02  0.125097   0.00148414
1.247657e+02  7.500000e+02  3.989214e-01  2.300000e+02  0.166354   0.00173444
1.218506e+02  7.500000e+02  4.868184e-01  2.500000e+02  0.162467   0.00194727
1.043233e+02  7.500000e+02  4.910670e-01  3.000000e+02  0.139098   0.00163689
9.416655e+01  7.500000e+02  4.654718e-01  3.250000e+02  0.125555   0.00143222
6.501278e+01  7.500000e+02  2.282906e+00  3.500000e+02  0.0866837  0.00652259
1.568910e+02  8.000000e+02  4.634860e-01  2.300000e+02  0.196114   0.00201516
1.539523e+02  8.000000e+02  5.615537e-01  2.500000e+02  0.19244    0.00224621
1.352242e+02  8.000000e+02  5.785009e-01  3.000000e+02  0.16903    0.00192834
1.246020e+02  8.000000e+02  5.628992e-01  3.250000e+02  0.155753   0.001732
8.793260e+01  8.000000e+02  2.684544e+00  3.500000e+02  0.109916   0.00767013
