MH   MA   Fitted_sint  sint_error
470  230  0.0525647    0.577934
500  230  0.0615466    0.601817
550  230  0.0763234    0.456951
550  250  0.0698921    0.353802
600  230  0.0770494    0.370828
600  250  0.0717599    0.386974
650  230  0.0838971    0.661333
650  250  0.0721186    0.666711
650  300  0.0629146    0.670332
700  230  0.0961259    0.646166
700  250  0.0846555    0.664287
700  300  0.0760285    0.668917
700  325  0.0708033    0.671614
750  230  0.0759044    0.362231
750  250  0.0711844    0.399658
750  300  0.0946549    0.598907
750  325  0.0895829    0.621863
750  350  0.207777     0.543444
800  230  0.0751898    0.356291
800  250  0.0704126    0.411551
800  300  0.0676681    0.440914
800  325  0.0665789    0.44009
800  350  0.212258     0.585312
