MH   MA   Fitted_tanb  tanb_error
470  230  1.58336      1.37934
500  230  1.52004      1.16617
550  230  2.46467      8.22367
550  250  2.51232      8.00425
600  230  2.28054      7.28864
600  250  2.28942      6.67923
650  230  1.57096      1.44968
650  250  1.60302      1.46079
650  300  1.71191      1.82261
700  230  1.55311      1.67054
700  250  1.60248      1.62926
700  300  1.68218      1.84056
700  325  1.76435      4.68625
750  230  1.91862      5.33296
750  250  1.91492      4.98631
750  300  1.6094       4.60913
750  325  1.67043      4.61208
750  350  2.42231      7.38263
800  230  1.82901      5.10201
800  250  1.82552      4.82055
800  300  1.90118      4.88725
800  325  1.95928      5.02913
800  350  2.18436      6.28658
