widthH        MH            widthA        MA            FracWH     FracWA
3.799193e+01  4.700000e+02  5.715278e-01  2.300000e+02  0.0808339  0.0024849
5.482242e+01  5.000000e+02  6.796239e-01  2.300000e+02  0.109645   0.00295489
4.137605e+01  5.500000e+02  1.706208e-01  2.300000e+02  0.0752292  0.00074183
3.737740e+01  5.500000e+02  1.931815e-01  2.500000e+02  0.0679589  0.000772726
6.075143e+01  6.000000e+02  2.105958e-01  2.300000e+02  0.101252   0.000915634
5.725600e+01  6.000000e+02  2.494425e-01  2.500000e+02  0.0954267  0.00099777
1.192302e+02  6.500000e+02  4.219321e-01  2.300000e+02  0.183431   0.00183449
1.139353e+02  6.500000e+02  5.863050e-01  2.500000e+02  0.175285   0.00234522
9.044166e+01  6.500000e+02  6.325765e-01  3.000000e+02  0.139141   0.00210859
1.368553e+02  7.000000e+02  2.992223e-01  2.300000e+02  0.195508   0.00130097
1.348944e+02  7.000000e+02  4.145264e-01  2.500000e+02  0.192706   0.00165811
1.157339e+02  7.000000e+02  4.899286e-01  3.000000e+02  0.165334   0.0016331
1.018882e+02  7.000000e+02  4.818690e-01  3.250000e+02  0.145555   0.00148267
1.407076e+02  7.500000e+02  3.423603e-01  2.300000e+02  0.18761    0.00148852
1.379267e+02  7.500000e+02  4.138749e-01  2.500000e+02  0.183902   0.0016555
1.348467e+02  7.500000e+02  3.023688e-01  3.000000e+02  0.179796   0.0010079
1.257150e+02  7.500000e+02  3.245421e-01  3.250000e+02  0.16762    0.000998591
9.581088e+01  7.500000e+02  6.395388e+00  3.500000e+02  0.127748   0.0182725
1.746186e+02  8.000000e+02  3.947087e-01  2.300000e+02  0.218273   0.00171612
1.720221e+02  8.000000e+02  4.747855e-01  2.500000e+02  0.215028   0.00189914
1.525593e+02  8.000000e+02  5.089938e-01  3.000000e+02  0.190699   0.00169665
1.411292e+02  8.000000e+02  5.091005e-01  3.250000e+02  0.176411   0.00156646
1.271109e+02  8.000000e+02  8.316584e+00  3.500000e+02  0.158889   0.0237617
