MH   MA   Fitted_lam3  lam3_error
470  230  10           7.54643
500  230  10           8.00028
550  230  2.47556      6.89426
550  250  2.65911      5.84803
600  230  3.15018      5.70665
600  250  3.37153      4.70013
650  230  10           8.88422
650  250  10           8.51655
650  300  10           7.88412
700  230  10           8.97722
700  250  10           8.99846
700  300  10           8.87157
700  325  10           8.62279
750  230  5.74537      5.37261
750  250  6.09219      6.20119
750  300  10           8.74466
750  325  10           8.87765
750  350  5.17258      5.91236
800  230  6.79397      5.59599
800  250  7.18272      6.42249
800  300  7.03597      6.40355
800  325  6.88071      6.20991
800  350  6.15178      5.2388
