MH   MA   Fitted_sint  sint_error
470  230  0.0525179    0.57991
500  230  0.0613319    0.605582
550  230  0.075993     0.479943
550  250  0.0701756    0.365497
600  230  0.076301     0.35372
600  250  0.0715436    0.389281
650  230  0.081697     0.665158
650  250  0.0708459    0.670434
650  300  0.0624066    0.673905
700  230  0.0914352    0.641106
700  250  0.0819988    0.662357
700  300  0.0746982    0.668858
700  325  0.0699405    0.670971
750  230  0.0744678    0.371952
750  250  0.0704828    0.378804
750  300  0.0909259    0.5666
750  325  0.0873122    0.587036
750  350  0.213817     0.50162
800  230  0.0735218    0.353801
800  250  0.0697005    0.396843
800  300  0.0678926    0.403314
800  325  0.0669037    0.396865
800  350  0.220252     0.56436
