MH   MA   Fitted_tanb  tanb_error
470  230  1.59321      1.44388
500  230  1.54258      1.29417
550  230  2.5449       8.20769
550  250  2.55644      8.14246
600  230  2.42559      7.8967
600  250  2.39337      7.24775
650  230  1.70251      2.01126
650  250  1.71002      1.92849
650  300  1.78502      4.70492
700  230  1.77403      4.69259
700  250  1.77552      4.55902
700  300  1.81123      4.58138
700  325  1.8773       4.50645
750  230  2.23009      6.21514
750  250  2.18571      5.68807
750  300  1.86993      5.29683
750  325  1.89904      5.26906
750  350  2.74763      8.07127
800  230  2.18942      5.88427
800  250  2.147        5.44597
800  300  2.17706      5.55314
800  325  2.21546      5.75746
800  350  2.55375      7.35521
