widthH        MH            widthA        MA            FracWH     FracWA
3.861609e+01  4.700000e+02  5.704714e-01  2.300000e+02  0.0821619  0.00248031
5.723031e+01  5.000000e+02  6.748076e-01  2.300000e+02  0.114461   0.00293395
4.267778e+01  5.500000e+02  1.662853e-01  2.300000e+02  0.077596   0.00072298
3.800306e+01  5.500000e+02  1.926868e-01  2.500000e+02  0.0690965  0.000770747
6.467782e+01  6.000000e+02  1.987725e-01  2.300000e+02  0.107796   0.000864228
5.998247e+01  6.000000e+02  2.402458e-01  2.500000e+02  0.0999708  0.000960983
1.409246e+02  6.500000e+02  3.998154e-01  2.300000e+02  0.216807   0.00173833
1.301721e+02  6.500000e+02  5.655117e-01  2.500000e+02  0.200265   0.00226205
9.758824e+01  6.500000e+02  6.221426e-01  3.000000e+02  0.150136   0.00207381
1.736399e+02  7.000000e+02  2.703177e-01  2.300000e+02  0.248057   0.00117529
1.623223e+02  7.000000e+02  3.885227e-01  2.500000e+02  0.231889   0.00155409
1.314455e+02  7.000000e+02  4.725262e-01  3.000000e+02  0.187779   0.00157509
1.123186e+02  7.000000e+02  4.688130e-01  3.250000e+02  0.160455   0.0014425
1.640718e+02  7.500000e+02  2.882264e-01  2.300000e+02  0.218762   0.00125316
1.588924e+02  7.500000e+02  3.570650e-01  2.500000e+02  0.211857   0.00142826
1.674717e+02  7.500000e+02  2.779696e-01  3.000000e+02  0.223296   0.000926565
1.496581e+02  7.500000e+02  3.052428e-01  3.250000e+02  0.199544   0.000939209
1.111168e+02  7.500000e+02  5.666361e+00  3.500000e+02  0.148156   0.0161896
2.098042e+02  8.000000e+02  3.159165e-01  2.300000e+02  0.262255   0.00137355
2.045418e+02  8.000000e+02  3.920820e-01  2.500000e+02  0.255677   0.00156833
1.755640e+02  8.000000e+02  4.468202e-01  3.000000e+02  0.219455   0.0014894
1.590068e+02  8.000000e+02  4.550337e-01  3.250000e+02  0.198759   0.0014001
1.541545e+02  8.000000e+02  7.004083e+00  3.500000e+02  0.192693   0.0200117
