lambda3  WH            WH/MH      WA            WA/MA       Wa            WHc           Xsec        Xsec*3000/fb
0.1      1.983408e+01  0.0396682  2.559806e+00  0.0111296   3.742590e+00  2.353741e+01  1.0189e-06  3.0567
0.5      1.987247e+01  0.0397449  2.103669e+00  0.00914639  3.742590e+00  2.353741e+01  2.1577e-06  6.4731
1        2.043134e+01  0.0408627  1.608217e+00  0.00699225  3.742590e+00  2.353741e+01  1.612e-05   48.36
2        2.325205e+01  0.0465041  8.663748e-01  0.00376685  3.742590e+00  2.353741e+01  3.1791e-05  95.373
3        2.833699e+01  0.056674   4.566158e-01  0.00198529  3.742590e+00  2.353744e+01  1.6214e-06  4.8642
3.6      3.248169e+01  0.0649634  3.701603e-01  0.00160939  3.742590e+00  2.353744e+01  1.511e-07   0.4533
3.8      3.404491e+01  0.0680898  3.679084e-01  0.0015996   3.742590e+00  2.353744e+01  2.8295e-06  8.4885
4        3.569895e+01  0.0713979  3.789399e-01  0.00164756  3.742590e+00  2.353744e+01  1.4663e-05  43.989
5        4.533155e+01  0.0906631  6.333471e-01  0.00275368  3.742590e+00  2.353744e+01  0.00032521  975.63
6        5.723477e+01  0.11447    1.219837e+00  0.00530364  3.742590e+00  2.353744e+01  0.0006535   1960.5
