sinp                   lambda3  widthA        MA            widthH        MH            FracWA     FracWH
0.1                    2        1.213176e+01  4.100000e+02  2.322704e-01  2.600000e+02  0.0295897  0.000893348
0.1                    3        1.283683e+01  4.100000e+02  6.400829e-01  2.600000e+02  0.0313093  0.00246186
0.1                    4        1.380732e+01  4.100000e+02  1.293690e+00  2.600000e+02  0.0336764  0.00497573
0.1                    6        1.654461e+01  4.100000e+02  3.338286e+00  2.600000e+02  0.0403527  0.0128396
0.1                    8        2.034363e+01  4.100000e+02  6.366058e+00  2.600000e+02  0.0496186  0.0244848
0.2                    2        1.406766e+01  4.100000e+02  2.990990e-01  2.600000e+02  0.0343114  0.00115038
0.2                    3        1.680244e+01  4.100000e+02  7.248393e-01  2.600000e+02  0.0409816  0.00278784
0.2                    4        2.056679e+01  4.100000e+02  1.403801e+00  2.600000e+02  0.0501629  0.00539923
0.2                    6        3.118415e+01  4.100000e+02  3.521387e+00  2.600000e+02  0.0760589  0.0135438
0.2                    8        4.591975e+01  4.100000e+02  6.651859e+00  2.600000e+02  0.111999   0.0255841
0.3                    2        1.704280e+01  4.100000e+02  4.467512e-01  2.600000e+02  0.0415678  0.00171827
0.3                    3        2.287558e+01  4.100000e+02  9.501779e-01  2.600000e+02  0.0557941  0.00365453
0.3                    4        3.090422e+01  4.100000e+02  1.739010e+00  2.600000e+02  0.0753761  0.0066885
0.3                    6        5.354906e+01  4.100000e+02  4.172890e+00  2.600000e+02  0.130607   0.0160496
0.3                    8        8.497734e+01  4.100000e+02  7.748391e+00  2.600000e+02  0.207262   0.0298015
0.5                    2        2.445184e+01  4.100000e+02  1.223915e+00  2.600000e+02  0.0596386  0.00470737
0.5                    3        3.780528e+01  4.100000e+02  2.377518e+00  2.600000e+02  0.092208   0.0091443
0.5                    4        5.618586e+01  4.100000e+02  4.085882e+00  2.600000e+02  0.137039   0.0157149
0.5                    6        1.080285e+02  4.100000e+02  9.166892e+00  2.600000e+02  0.263484   0.0352573
0.5                    8        1.799796e+02  4.100000e+02  1.646695e+01  2.600000e+02  0.438975   0.0633344
.70710678118654752440  2        2.958745e+01  4.100000e+02  3.367678e+00  2.600000e+02  0.0721645  0.0129526
.70710678118654752440  3        4.739203e+01  4.100000e+02  6.762239e+00  2.600000e+02  0.11559    0.0260086
.70710678118654752440  4        7.189947e+01  4.100000e+02  1.163995e+01  2.600000e+02  0.175365   0.044769
.70710678118654752440  6        1.410229e+02  4.100000e+02  2.584480e+01  2.600000e+02  0.343958   0.0994031
.70710678118654752440  8        2.369578e+02  4.100000e+02  4.598224e+01  2.600000e+02  0.577946   0.176855
