sinp                   lambda3  tanbeta  sinbma       widthA        MA            widthH        MH            FracWA    FracWH
0.1                    2        1        0.99995      1.069781e+02  7.000000e+02  1.995719e-01  2.600000e+02  0.152826  0.000767584
0.1                    2        1        0.9949874    1.071395e+02  7.000000e+02  1.658269e+01  2.600000e+02  0.153056  0.0637796
0.1                    2        1        0.979795897  1.080612e+02  7.000000e+02  6.089216e+01  2.600000e+02  0.154373  0.234201
0.1                    2        2        0.99995      8.524335e+01  7.000000e+02  2.423769e-01  2.600000e+02  0.121776  0.000932219
0.1                    2        2        0.9949874    8.575488e+01  7.000000e+02  2.012722e+01  2.600000e+02  0.122507  0.0774124
0.1                    2        2        0.979795897  8.682892e+01  7.000000e+02  8.876291e+01  2.600000e+02  0.124041  0.341396
0.1                    2        3        0.99995      9.061540e+01  7.000000e+02  3.490345e-01  2.600000e+02  0.129451  0.00134244
0.1                    2        3        0.9949874    9.093370e+01  7.000000e+02  2.312736e+01  2.600000e+02  0.129905  0.0889514
0.1                    2        3        0.979795897  9.198226e+01  7.000000e+02  1.130881e+02  2.600000e+02  0.131403  0.434954
0.1                    2        4        0.99995      1.033496e+02  7.000000e+02  5.021283e-01  2.600000e+02  0.147642  0.00193126
0.1                    2        4        0.9949874    1.026258e+02  7.000000e+02  2.608816e+01  2.600000e+02  0.146608  0.100339
0.1                    2        4        0.979795897  1.027479e+02  7.000000e+02  1.374428e+02  2.600000e+02  0.146783  0.528626
0.1                    2        5        0.99995      1.214009e+02  7.000000e+02  6.993844e-01  2.600000e+02  0.17343   0.00268994
0.1                    2        5        0.9949874    1.193192e+02  7.000000e+02  2.910803e+01  2.600000e+02  0.170456  0.111954
0.1                    2        5        0.979795897  1.181988e+02  7.000000e+02  1.624335e+02  2.600000e+02  0.168855  0.624744
0.1                    2        6        0.99995      1.439811e+02  7.000000e+02  9.401102e-01  2.600000e+02  0.205687  0.00361581
0.1                    2        6        0.9949874    1.397883e+02  7.000000e+02  3.221500e+01  2.600000e+02  0.199698  0.123904
0.1                    2        6        0.979795897  1.366944e+02  7.000000e+02  1.881473e+02  2.600000e+02  0.195278  0.723643
0.1                    2        8        0.99995      2.019657e+02  7.000000e+02  1.550648e+00  2.600000e+02  0.288522  0.00596403
0.1                    2        8        0.9949874    1.907093e+02  7.000000e+02  3.871321e+01  2.600000e+02  0.272442  0.148897
0.1                    2        8        0.979795897  1.809384e+02  7.000000e+02  2.414470e+02  2.600000e+02  0.258483  0.928642
0.1                    3        1        0.99995      1.058733e+02  7.000000e+02  1.742991e-01  2.600000e+02  0.151248  0.000670381
0.1                    3        1        0.9949874    1.060343e+02  7.000000e+02  1.412607e+01  2.600000e+02  0.151478  0.054331
0.1                    3        1        0.979795897  1.069547e+02  7.000000e+02  5.190122e+01  2.600000e+02  0.152792  0.19962
0.1                    3        2        0.99995      8.334873e+01  7.000000e+02  2.089846e-01  2.600000e+02  0.11907   0.000803787
0.1                    3        2        0.9949874    8.366092e+01  7.000000e+02  1.710985e+01  2.600000e+02  0.119516  0.0658071
0.1                    3        2        0.979795897  8.480754e+01  7.000000e+02  7.536415e+01  2.600000e+02  0.121154  0.289862
0.1                    3        3        0.99995      8.713498e+01  7.000000e+02  2.985745e-01  2.600000e+02  0.124479  0.00114836
0.1                    3        3        0.9949874    8.731588e+01  7.000000e+02  1.962927e+01  2.600000e+02  0.124737  0.0754972
0.1                    3        3        0.979795897  8.829020e+01  7.000000e+02  9.573145e+01  2.600000e+02  0.126129  0.368198
0.1                    3        4        0.99995      9.756944e+01  7.000000e+02  4.274187e-01  2.600000e+02  0.139385  0.00164392
0.1                    3        4        0.9949874    9.690423e+01  7.000000e+02  2.210990e+01  2.600000e+02  0.138435  0.0850381
0.1                    3        4        0.979795897  9.705899e+01  7.000000e+02  1.160234e+02  2.600000e+02  0.138656  0.446244
0.1                    3        5        0.99995      1.126436e+02  7.000000e+02  5.934697e-01  2.600000e+02  0.160919  0.00228258
0.1                    3        5        0.9949874    1.107259e+02  7.000000e+02  2.463421e+01  2.600000e+02  0.15818   0.094747
0.1                    3        5        0.979795897  1.097336e+02  7.000000e+02  1.367427e+02  2.600000e+02  0.156762  0.525933
0.1                    3        6        0.99995      1.315844e+02  7.000000e+02  7.961013e-01  2.600000e+02  0.187978  0.00306193
0.1                    3        6        0.9949874    1.277248e+02  7.000000e+02  2.722532e+01  2.600000e+02  0.182464  0.104713
0.1                    3        6        0.979795897  1.249197e+02  7.000000e+02  1.579524e+02  2.600000e+02  0.178457  0.607509
0.1                    3        8        0.99995      1.803157e+02  7.000000e+02  1.309903e+00  2.600000e+02  0.257594  0.00503809
0.1                    3        8        0.9949874    1.699745e+02  7.000000e+02  3.262534e+01  2.600000e+02  0.242821  0.125482
0.1                    3        8        0.979795897  1.610655e+02  7.000000e+02  2.015550e+02  2.600000e+02  0.230094  0.775212
