MA   Ma   widthA        widtha        FracWA      FracWa
240  50   1.480009e+01  3.582909e-06  0.061667    7.16582e-08
240  60   1.397258e+01  4.322536e-06  0.0582191   7.20423e-08
240  70   1.298950e+01  5.059100e-06  0.0541229   7.22729e-08
240  80   1.170599e+01  5.793768e-06  0.048775    7.24221e-08
240  90   1.012764e+01  6.527182e-06  0.0421985   7.25242e-08
240  95   9.159856e+00  6.893543e-06  0.0381661   7.25636e-08
240  100  8.018556e+00  7.259721e-06  0.0334107   7.25972e-08
280  50   1.380099e+01  3.582909e-06  0.0492892   7.16582e-08
280  60   1.339926e+01  4.322536e-06  0.0478545   7.20423e-08
280  70   1.309657e+01  5.059100e-06  0.0467735   7.22729e-08
280  80   1.249575e+01  5.793768e-06  0.0446277   7.24221e-08
280  90   1.178071e+01  6.527182e-06  0.042074    7.25242e-08
280  95   1.142611e+01  6.893543e-06  0.0408075   7.25636e-08
280  100  1.104719e+01  7.259721e-06  0.0394543   7.25972e-08
280  150  3.629170e+00  1.091546e-05  0.0129613   7.27697e-08
300  50   1.300136e+01  3.582909e-06  0.0433379   7.16582e-08
300  60   1.272100e+01  4.322536e-06  0.0424033   7.20423e-08
300  70   1.259219e+01  5.059100e-06  0.041974    7.22729e-08
300  80   1.214165e+01  5.793768e-06  0.0404722   7.24221e-08
300  90   1.161095e+01  6.527182e-06  0.0387032   7.25242e-08
300  95   1.132093e+01  6.893543e-06  0.0377364   7.25636e-08
300  100  1.106355e+01  7.259721e-06  0.0368785   7.25972e-08
300  150  6.946319e+00  1.091546e-05  0.0231544   7.27697e-08
320  50   1.213898e+01  3.582909e-06  0.0379343   7.16582e-08
320  60   1.193269e+01  4.322536e-06  0.0372897   7.20423e-08
320  70   1.192625e+01  5.059100e-06  0.0372695   7.22729e-08
320  80   1.159912e+01  5.793768e-06  0.0362472   7.24221e-08
320  90   1.119095e+01  6.527182e-06  0.0349717   7.25242e-08
320  95   1.097496e+01  6.893543e-06  0.0342968   7.25636e-08
320  100  1.074761e+01  7.259721e-06  0.0335863   7.25972e-08
320  150  8.017914e+00  1.091546e-05  0.025056    7.27697e-08
350  50   1.096635e+01  3.582909e-06  0.0313324   7.16582e-08
350  60   1.083251e+01  4.322536e-06  0.03095     7.20423e-08
350  70   1.094191e+01  5.059100e-06  0.0312626   7.22729e-08
350  80   1.072515e+01  5.793768e-06  0.0306433   7.24221e-08
350  90   1.044828e+01  6.527182e-06  0.0298522   7.25242e-08
350  95   1.029893e+01  6.893543e-06  0.0294255   7.25636e-08
350  100  1.014620e+01  7.259721e-06  0.0289891   7.25972e-08
350  150  8.468633e+00  1.091546e-05  0.0241961   7.27697e-08
350  200  5.314984e+00  1.456600e-05  0.0151857   7.283e-08
400  50   9.186730e+00  3.582909e-06  0.0229668   7.16582e-08
400  60   9.119451e+00  4.322536e-06  0.0227986   7.20423e-08
400  70   9.320094e+00  5.059100e-06  0.0233002   7.22729e-08
400  80   9.201564e+00  5.793768e-06  0.0230039   7.24221e-08
400  90   9.049874e+00  6.527182e-06  0.0226247   7.25242e-08
400  95   8.967317e+00  6.893543e-06  0.0224183   7.25636e-08
400  100  8.882115e+00  7.259721e-06  0.0222053   7.25972e-08
400  150  8.027232e+00  1.091546e-05  0.0200681   7.27697e-08
400  200  6.781915e+00  1.456600e-05  0.0169548   7.283e-08
400  250  4.387783e+00  1.824522e-05  0.0109695   7.29809e-08
450  50   7.842884e+00  3.582909e-06  0.0174286   7.16582e-08
450  60   7.808204e+00  4.322536e-06  0.0173516   7.20423e-08
450  70   8.037331e+00  5.059100e-06  0.0178607   7.22729e-08
450  80   7.966807e+00  5.793768e-06  0.017704    7.24221e-08
450  90   7.878817e+00  6.527182e-06  0.0175085   7.25242e-08
450  95   7.831745e+00  6.893543e-06  0.0174039   7.25636e-08
450  100  7.783323e+00  7.259721e-06  0.0172963   7.25972e-08
450  150  7.305729e+00  1.091546e-05  0.016235    7.27697e-08
450  200  6.771113e+00  1.456600e-05  0.0150469   7.283e-08
450  250  5.844899e+00  1.823064e-05  0.0129887   7.29226e-08
450  300  4.023847e+00  2.721115e-05  0.00894188  9.07038e-08
500  50   6.542600e+00  3.582909e-06  0.0130852   7.16582e-08
500  60   6.525060e+00  4.322536e-06  0.0130501   7.20423e-08
500  70   6.755392e+00  5.059100e-06  0.0135108   7.22729e-08
500  80   6.707298e+00  5.793768e-06  0.0134146   7.24221e-08
500  90   6.653421e+00  6.527182e-06  0.0133068   7.25242e-08
500  95   6.625549e+00  6.893543e-06  0.0132511   7.25636e-08
500  100  6.597180e+00  7.259721e-06  0.0131944   7.25972e-08
500  150  6.330882e+00  1.091546e-05  0.0126618   7.27697e-08
500  200  6.113132e+00  1.456600e-05  0.0122263   7.283e-08
500  250  5.751264e+00  1.822322e-05  0.0115025   7.28929e-08
500  300  5.080873e+00  2.711507e-05  0.0101617   9.03836e-08
550  50   5.445796e+00  3.582909e-06  0.00990145  7.16582e-08
550  60   5.438000e+00  4.322536e-06  0.00988727  7.20423e-08
550  70   5.653801e+00  5.059100e-06  0.0102796   7.22729e-08
550  80   5.618244e+00  5.793768e-06  0.010215    7.24221e-08
550  90   5.583086e+00  6.527182e-06  0.0101511   7.25242e-08
550  95   5.565719e+00  6.893543e-06  0.0101195   7.25636e-08
550  100  5.548740e+00  7.259721e-06  0.0100886   7.25972e-08
550  150  5.408131e+00  1.091546e-05  0.00983297  7.27697e-08
550  200  5.335621e+00  1.456600e-05  0.00970113  7.283e-08
550  250  5.238714e+00  1.821923e-05  0.00952493  7.28769e-08
550  300  5.018141e+00  2.708572e-05  0.00912389  9.02857e-08
600  50   4.562282e+00  3.582909e-06  0.0076038   7.16582e-08
600  60   4.557405e+00  4.322536e-06  0.00759568  7.20423e-08
600  70   4.751743e+00  5.059100e-06  0.00791957  7.22729e-08
600  80   4.722856e+00  5.793768e-06  0.00787143  7.24221e-08
600  90   4.696583e+00  6.527182e-06  0.00782764  7.25242e-08
600  95   4.685499e+00  6.893543e-06  0.00780916  7.25636e-08
600  100  4.674539e+00  7.259721e-06  0.0077909   7.25972e-08
600  150  4.604848e+00  1.091546e-05  0.00767475  7.27697e-08
600  200  4.598967e+00  1.456600e-05  0.00766495  7.283e-08
600  250  4.627384e+00  1.821527e-05  0.00771231  7.28611e-08
