MHs   MDM   MZp   BR(Hs->hh)    Xsec
270   150   500   3.056064e-01  0.04094290268523719
270   150   600   3.063099e-01  0.03756659260097311
270   150   700   3.068122e-01  0.03558272459055731
270   150   800   3.071889e-01  0.034407289300339115
270   150   900   3.074818e-01  0.03185715630020229
270   150   1000  3.077161e-01  0.028477587700126185
270   150   1250  3.081378e-01  0.018993441300043275
270   150   1500  3.084188e-01  0.011828601220016832
270   150   1750  3.086195e-01  0.0072252569200067715
270   150   2000  3.087701e-01  0.004406448700003023
270   150   2500  3.089808e-01  0.0016574086960006854
270   150   3000  3.091212e-01  0.0006411943175001891
270   150   3500  3.092216e-01  0.0002508299377000656
270   150   4000  3.092968e-01  9.924569596002858e-05
270   150   4500  3.093553e-01  3.928477853001489e-05
270   150   5000  3.094021e-01  1.541911641600845e-05
270   200   500   3.056064e-01  0.019286543500793105
270   200   600   3.063099e-01  0.025029484486565824
270   200   700   3.068122e-01  0.024303448600450608
270   200   800   3.071889e-01  0.02320600347028481
270   200   900   3.074818e-01  0.022435293900179273
270   200   1000  3.077161e-01  0.021095896200117346
270   200   1250  3.081378e-01  0.015604269600041193
270   200   1500  3.084188e-01  0.010302934000015772
270   200   1750  3.086195e-01  0.006528991740006536
270   200   2000  3.087701e-01  0.004085837170002821
270   200   2500  3.089808e-01  0.0015759295750006315
270   200   3000  3.091212e-01  0.0006195868060001686
270   200   3500  3.092216e-01  0.00024397066450005514
270   200   4000  3.092968e-01  9.720591453002258e-05
270   200   4500  3.093553e-01  3.844536746001159e-05
270   200   5000  3.094021e-01  1.5191848179005864e-05
270   300   500   3.056064e-01  0.00021717980002730963
270   300   600   3.063099e-01  0.0007205675400300401
270   300   700   3.068122e-01  0.006879482560138219
270   300   800   3.071889e-01  0.010138993012445844
270   300   900   3.074818e-01  0.010640195020115064
270   300   1000  3.077161e-01  0.010462349500083068
270   300   1250  3.081378e-01  0.009354648400033725
270   300   1500  3.084188e-01  0.007157527760013421
270   300   1750  3.086195e-01  0.005000189110005772
270   300   2000  3.087701e-01  0.003303462620002509
270   300   2500  3.089808e-01  0.0013736596600005492
270   300   3000  3.091212e-01  0.0005593690060001396
270   300   3500  3.092216e-01  0.00022666510270004131
270   300   4000  3.092968e-01  9.130614930001472e-05
270   300   4500  3.093553e-01  3.6594923830006644e-05
270   300   5000  3.094021e-01  1.4497898020003281e-05
270   400   700   3.068122e-01  0.00011845414981604175
