mh3   mh4  mh2   mhc   sinp  tanbeta  lap1  lap2  lam3  sinbma  gpxd  mxd  CMS                CMSerr     ATLAS        ATLASerr     CMS/ATLAS
100   100  100   100   0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.593383253626     0.001178   0.5951       0.000567521  0.997115
200   100  200   200   0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.4030592979       0.001006   0.399688     0.00055917   1.00843
200   150  200   200   0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.360849272872     0.001235   0.361485     0.00053259   0.998241
200   200  200   200   0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.19586012724      0.0005652  0.195924     0.000262208  0.999674
300   150  300   300   0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  1.77762048998      0.002885   1.78325      0.00174201   0.996843
300   250  300   300   0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.14527165467      0.0002882  0.144531     0.000181966  1.00512
300   300  300   300   0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.0737883008207    0.0002389  0.0736465    0.000106778  1.00193
400   100  400   400   0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  1.47793074526      0.003102   1.47837      0.000899764  0.999703
400   150  400   400   0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  1.07796438496      0.001683   1.07806      0.00124418   0.999911
400   200  400   400   0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.65608847338      0.0005875  0.65649      0.000759184  0.999388
400   250  400   400   0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.251489120523     0.0004239  0.251465     0.000445039  1.0001
400   300  400   400   0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.04385358866      8.746e-05  0.0438454    8.22696e-05  1.00019
400   350  400   400   0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.038272022744     6.483e-05  0.0385706    6.72457e-05  0.992259
400   400  400   400   0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.000352990422892  8.333e-07  0.000353109  4.1984e-07   0.999664
500   100  500   500   0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.70749974518      0.001368   0.706582     0.000693562  1.0013
500   150  500   500   0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.551735846798     0.001057   0.551986     0.00057834   0.999547
500   200  500   500   0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.40113825652      0.0008773  0.401315     0.000360701  0.99956
500   250  500   500   0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.2556187272       0.0002009  0.256022     0.000217821  0.998425
500   350  500   500   0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.05804943466      8.658e-05  0.0583415    0.000101179  0.994994
500   400  500   500   0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.01790670756      2.581e-05  0.0181005    3.84305e-05  0.989294
500   450  500   500   0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.0104007526215    2.968e-05  0.0104268    1.30329e-05  0.997502
500   500  500   500   0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  4.67152829976e-06  6.65e-09   4.68877e-06  1.56422e-08  0.996323
600   100  600   600   0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.41331292321      0.0006626  0.413588     0.000366191  0.999335
600   150  600   600   0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.325381439895     0.000477   0.325353     0.000275687  1.00009
