LHAPDF: 263400

import model Higgs_scalar_UFO
generate p p > h chi chi~ QED=3

set sp 0.3
set gDM 1
set gb 3

============================
MMED MDM Cross Section (pb)

10 1 2.18891213386
10 10 1.74084232608
10 20 1.53239316929
10 50 0.38963780896
10 100 1.36456759198e-05
10 150 2.41469263208e-06
10 500 3.37738568666e-09
10 1000 1.6957015394e-11
20 1 2.07740881505
15 10 1.74065527384
20 20 1.53144721981
20 50 0.389051505066
20 100 1.37254402419e-05
20 150 2.41908214003e-06
20 500 3.37315475925e-09
20 1000 1.69559753597e-11
50 1 1.91626360444
50 10 1.85575590712
50 20 1.65491547167
50 50 0.38816657023
50 100 1.42460858805e-05
50 150 2.45920110719e-06
50 500 3.38079076658e-09
50 1000 1.69890833854e-11
100 1 1.81108639233
100 10 1.74958639426
100 20 1.55074660107
95 50 0.383842640222
100 100 1.66957530518e-05
100 150 2.62052944747e-06
100 500 3.39855344166e-09
100 1000 1.71285476461e-11
200 1 1.67145124752
200 10 1.61283024592
200 20 1.4268342172
200 50 0.369861021574
200 150 3.82887652973e-06 ### width no stable
300 1 5.21911787773
300 10 5.04153725042
300 20 4.50925962127
300 50 1.28000266965
300 100 0.00248483914076
295 150 2.18841069098e-05
300 500 3.67617175427e-09
300 1000 1.83892744418e-11
400 1 4.85355647549
400 10 4.68460608843
400 20 4.1525964721
400 50 1.11035879694
400 100 0.00118971205902
400 150 0.000680545542134
400 500 4.08969802837e-09
400 1000 1.96377020066e-11
500 1 4.18787172218
500 10 4.03306319477
500 20 3.57291877125
500 50 0.927332463544
500 100 0.000746778812492
500 150 0.000422506493491
500 500 4.94156650124e-09
500 1000 2.15425558255e-11
600 1 3.72313135121
600 10 3.58048526534
600 20 3.16784831618
600 50 0.813355127483
600 100 0.000459928841294
600 150 0.000303831359088
600 500 6.72375081467e-09
600 1000 2.43510937261e-11
700 1 3.39368864232
700 10 3.27540112626
700 50 0.737540420134
700 100 0.00028211115116
700 150 0.000206039110349
700 500 1.07100815794e-08
700 1000 2.83682710585e-11
800 1 3.16373140964
800 10 3.04971410947
800 20 2.69132549771
800 50 0.686441021143
800 100 0.000176953191684
800 150 0.00013456024744
800 500 2.0660002042e-08
800 1000 3.4154477243e-11
900 1 2.99674040677
900 10 2.88730344289
900 20 2.55072395569
900 50 0.649325421859
900 100 0.00011452823542
900 150 8.70635673106e-05
900 500 5.29009998072e-08
900 1000 4.26014786292e-11
1000 1 2.87167998209
1000 10 2.76829925668
1000 20 2.43964247374
1000 50 0.620862076397
1000 100 7.75427771233e-05
1000 150 5.69586898346e-05
995 500 2.52214546519e-07
1000 1000 5.49189510108e-11
1100 1 2.77451239926
1100 10 2.67770708701
1100 20 2.36357917301
1100 50 0.598934554917
1100 100 5.5252365685e-05
1100 150 3.82071132121e-05
1100 500 1.23877250429e-06
1100 1000 7.32569494382e-11
1200 1 2.6997798191
1200 10 2.60163259571
1200 20 2.29310216067
1200 50 0.582911960032
1200 100 4.15549086942e-05
1200 150 2.64961411033e-05
1200 500 1.83472986408e-06
1200 1000 1.00308982115e-10
1300 1 2.63969521307
1300 10 2.5411136498
1300 20 2.24980959511
1300 50 0.570793938507
1300 100 3.30675404344e-05
1300 500 1.90578304724e-06
1300 1000 1.43332589013e-10
1400 1 2.59087945366
1400 10 2.49201139588
1400 20 2.20423282519
1400 50 0.559766040868
1400 100 2.76632954796e-05
1400 150 1.46318564121e-05
1400 500 1.64694007121e-06
1400 1000 2.13249143088e-10
1500 1 2.5504664549
1500 10 2.45464429699
1500 20 2.17401269188
1500 50 0.5505421458
1500 100 2.42229112038e-05
1500 150 1.17615108115e-05
1500 500 1.27955248547e-06
1500 1000 3.28485024053e-10
2000 1 2.40548112594
2000 10 2.30838045947
2000 20 2.04706117393
2000 50 0.520267581744
2000 100 1.84031413665e-05
2000 150 7.23831968699e-06
2000 500 2.36925825792e-07
1995 1000 3.74753307769e-09
10000 1 1.80045679952
10000 10 1.73712835429
10000 20 1.53351277334
10000 50 0.389696134315
10000 100 2.4450379256e-05
10000 150 1.10503369109e-05
10000 500 3.67115408528e-07
10000 1000 1.10447677638e-08
