MZp   Ma0   263400xsec  263400xsecerr  320900xsec  320900xsecerr  320900/263400xsec  320900/263400xsecerr
300   300   0.006694    2.98e-05       0.0065      2.977e-05      0.971019           0.00620195
300   500   0.0004415   2.685e-06      0.0003999   1.455e-06      0.905776           0.00641908
300   600   0.0002036   7.714e-07      0.0001788   6.787e-07      0.878193           0.00470989
300   800   5.832e-05   5.002e-07      4.805e-05   4.242e-07      0.823903           0.0101411
400   1000  2.804e-05   1.078e-07      2.352e-05   1.758e-07      0.838802           0.00705034
400   300   0.019       0.0001532      0.01916     7.981e-05      1.00842            0.00915197
400   500   0.000665    6.305e-06      0.0006282   6.054e-06      0.944662           0.012771
400   600   0.0002892   3.066e-06      0.0002668   2.918e-06      0.922545           0.0140522
400   800   7.858e-05   1.024e-06      6.889e-05   4.144e-07      0.876686           0.0125828
500   1000  5.388e-05   2.669e-07      4.886e-05   2.421e-07      0.90683            0.00635363
500   300   0.3594      0.00348        0.363       0.00365        1.01002            0.0140991
500   500   0.001635    6.631e-06      0.001589    7.037e-06      0.971865           0.0058361
500   600   0.000611    2.563e-06      0.0005835   2.389e-06      0.954992           0.00559783
500   800   0.0001516   7.096e-07      0.0001405   6.671e-07      0.926781           0.00617915
600   1000  8.679e-05   3.706e-07      8.034e-05   3.709e-07      0.925683           0.00582127
600   300   0.4588      0.002449       0.453       0.002547       0.987358           0.00765475
600   400   0.0655      0.0002998      0.06447     0.0003084      0.984275           0.00651653
800   1000  0.0001668   8.548e-07      0.0001523   8.228e-07      0.91307            0.00679912
800   300   0.284       0.001229       0.2686      0.001208       0.945775           0.00590284
800   400   0.09347     0.0006594      0.08832     0.0006273      0.944902           0.00945917
800   500   0.03763     0.0001941      0.03551     0.0001851      0.943662           0.00692017
800   600   0.01041     5.344e-05      0.009799    5.179e-05      0.941306           0.0069355
1000  1000  0.0003086   1.68e-06       0.0002741   1.613e-06      0.888205           0.00712041
1000  300   0.1475      0.0006513      0.1338      0.0006168      0.907119           0.00579054
1000  400   0.06032     0.0004023      0.05465     0.0003653      0.906001           0.00855497
1000  500   0.03538     0.0001484      0.03204     0.0001407      0.905596           0.00549942
1000  600   0.01955     0.0001056      0.01768     0.0001094      0.904348           0.00742806
1000  700   0.008869    4.158e-05      0.007996    3.899e-05      0.901567           0.00609854
1000  800   0.002844    1.604e-05      0.002558    1.487e-05      0.899437           0.00728497
1200  1000  0.000998    5.978e-06      0.000861    5.345e-06      0.862725           0.00744237
1200  300   0.07792     0.0003481      0.06791     0.0003192      0.871535           0.00565161
1200  400   0.03509     0.0001533      0.03054     0.0001405      0.870333           0.00552171
1200  500   0.02387     0.0001651      0.02077     0.0001592      0.87013            0.00898345
1200  600   0.01634     9.472e-05      0.01421     9.352e-05      0.869645           0.00762696
1200  700   0.01037     5.802e-05      0.009012    5.808e-05      0.869045           0.00741691
1200  800   0.005849    3.368e-05      0.005075    3.396e-05      0.86767            0.00765987
1400  1000  0.002079    1.23e-05       0.001728    1.059e-05      0.831169           0.00708012
1400  300   0.04261     0.000194       0.03569     0.0001723      0.837597           0.00555824
1400  400   0.02027     8.966e-05      0.01685     7.913e-05      0.831278           0.00536282
1400  500   0.0147      7.251e-05      0.01226     5.956e-05      0.834014           0.00577412
1400  600   0.01126     6.928e-05      0.009412    6.552e-05      0.835879           0.00776587
1400  700   0.008283    4.822e-05      0.006917    4.645e-05      0.835084           0.00742175
1400  800   0.005732    3.156e-05      0.004783    3.095e-05      0.834438           0.00708963
1700  1000  0.002132    1.148e-05      0.001667    1.064e-05      0.781895           0.00652933
1700  300   0.01851     8.648e-05      0.01457     7.351e-05      0.787142           0.00541261
1700  400   0.009209    4.184e-05      0.007235    3.544e-05      0.785644           0.00524895
1700  500   0.007067    3.141e-05      0.005555    2.656e-05      0.786048           0.00513134
1700  600   0.005825    3.132e-05      0.004568    2.562e-05      0.784206           0.00609295
1700  700   0.004806    3.283e-05      0.003765    2.931e-05      0.783396           0.00811362
1700  800   0.003826    2.472e-05      0.003001    2.247e-05      0.78437            0.00775726
2000  1000  0.001491    6.421e-06      0.001091    5.149e-06      0.731724           0.00467502
2000  300   0.008594    4.166e-05      0.006334    3.416e-05      0.737026           0.00534456
2000  400   0.004395    2.067e-05      0.003234    1.68e-05       0.735836           0.00515636
2000  500   0.003498    1.595e-05      0.002569    1.286e-05      0.73442            0.00497293
2000  600   0.003       1.311e-05      0.002204    1.058e-05      0.734667           0.00476913
2000  700   0.002594    1.968e-05      0.001904    1.572e-05      0.734002           0.00823016
2000  800   0.002204    1.024e-05      0.001614    7.564e-06      0.732305           0.00483263
2500  1000  0.0006468   2.82e-06       0.0004141   2.052e-06      0.640229           0.00422571
2500  300   0.002674    1.465e-05      0.00173     1.139e-05      0.646971           0.00554143
2500  400   0.001399    7.187e-06      0.0009041   5.471e-06      0.646247           0.00512983
2500  500   0.001147    5.622e-06      0.0007358   4.171e-06      0.6415             0.00480732
2500  600   0.001021    4.843e-06      0.0006573   3.585e-06      0.643781           0.00465339
2500  700   0.0009123   4.174e-06      0.0005834   3.086e-06      0.639483           0.00447243
2500  800   0.0008252   3.664e-06      0.0005287   2.704e-06      0.640693           0.00433935
2750  1000  0.0004095   2.27e-06       0.0002409   1.278e-06      0.588278           0.00451378
2750  300   0.001547    1.217e-05      0.000929    8.056e-06      0.600517           0.00703106
2750  500   0.000674    3.489e-06      0.0003997   2.503e-06      0.593027           0.0048182
2750  800   0.0005032   2.288e-06      0.0002971   1.61e-06       0.590421           0.0041766
3000  1000  0.0002596   1.178e-06      0.0001401   8.834e-07      0.539676           0.00419251
3000  300   0.0009145   8.686e-06      0.0005075   2.849e-06      0.554948           0.00612277
