LHAPDF: 263400

import model Higgs_ZB_UFO
generate p p > h chi chi~ QED=3
set sp 0.3
set gDM 1
set gq 0.25
set gZ  MMED

============================
MMED MDM Cross Section (pb)

10 1 2.59475200139
10 10 0.0119285485294
10 20 0.002370002595
10 50 0.00020487139962
10 100 1.7766719697e-05
10 150 3.14857697501e-06
10 500 4.5071850285e-09
10 1000 2.7728742863e-11
20 1 2.72240963862
15 10 0.041809924451
20 20 0.011732419094
20 50 0.00085030705648
20 100 7.174891476e-05
20 150 1.26407269938e-05
20 500 1.79586789788e-08
20 1000 1.10461482212e-10
50 1 3.25607022875
50 10 3.23855677828
50 20 2.80972397077
50 50 0.00718287240877
50 100 0.000487013872893
50 150 8.2166987397e-05
50 500 1.12715297751e-07
50 1000 6.89361614965e-10
100 1 3.18024514561
100 10 3.17354850148
100 20 3.14263837768
95 50 0.185594698773
100 100 0.00270265723994
100 150 0.000381838808421
100 500 4.5793843286e-07
100 1000 2.7712090306e-09
200 1 2.5517404181
200 10 2.5339225263
200 20 2.4316324564
200 50 2.09243596445
195 100 0.179959102442
200 150 0.00318936616712
200 500 1.95633424295e-06
200 1000 1.12950551669e-08
300 1 2.26717461494
300 10 2.26787951125
300 20 2.23581143488
300 50 1.94713513166
300 100 1.22734586532
295 150 0.133893039105
300 500 4.93515500639e-06
300 1000 2.6230489671e-08
400 1 1.57971160844
400 10 1.58005011703
400 20 1.57427432393
400 50 1.50972068185
400 100 1.12972956406
400 150 0.679767879557
400 500 1.04053952547e-05
400 1000 4.88370949196e-08
500 1 1.09367084934
500 10 1.09472714508
500 20 1.09020675079
500 50 1.07586494914
500 100 0.956036166401
500 150 0.679726638856
500 500 2.05703477766e-05
500 1000 8.07827841356e-08
600 1 0.762308729233
600 10 0.760857771324
600 20 0.759903769805
600 50 0.752483656275
600 100 0.713274677017
600 150 0.608366073067
600 500 4.07034414788e-05
600 1000 1.25311593629e-07
700 1 0.534620592638
700 10 0.534588545309
700 20 0.534613384253
700 50 0.532783959682
700 100 0.515493382363
700 150 0.474346407837
700 500 8.59480624979e-05
700 1000 1.86304014522e-07
800 1 0.381664312948
800 10 0.381495875367
800 20 0.381045923498
800 50 0.378926495103
800 100 0.374001785102
800 150 0.355734790472
800 500 0.000210303728323
800 1000 2.70091135465e-07
900 1 0.274924820568
900 10 0.275388835902
900 20 0.274903224296
900 50 0.273185915007
900 100 0.271166955229
900 150 0.263978616904
900 500 0.000735632989715
900 1000 3.86561248699e-07
1000 1 0.201769753605
1000 10 0.202000886283
1000 20 0.201062727308
1000 50 0.201049075001
1000 100 0.1997197722
1000 150 0.19601065092
995 500 0.0111215826866
1000 1000 5.51545710471e-07
1100 1 0.148894451747
1100 10 0.149018102066
1100 20 0.148978052379
1100 50 0.148720408528
1100 100 0.147672066335
1100 150 0.145468235167
1100 500 0.0378839192699
1100 1000 7.8696121938e-07
1200 1 0.111156331776
1200 10 0.111377310575
1200 20 0.111133091823
1200 50 0.111186170148
1200 100 0.110895776
1200 150 0.109510753757
1200 500 0.0443054062999
1200 1000 1.14549740817e-06
1300 1 0.0838591372952
1300 10 0.0839948536588
1300 20 0.0841187795883
1300 50 0.0837914264003
1300 100 0.083580551475
1300 150 0.0828196015003
1300 500 0.0455714908103
1300 1000 1.6860032552e-06
1400 1 0.063686694641
1400 10 0.0635998151769
1400 20 0.0637603820773
1400 50 0.0636765455712
1400 100 0.0634306552002
1400 150 0.0630379748605
1400 500 0.0415566015831
1400 1000 2.56267272072e-06
1500 1 0.0487230089725
1500 10 0.0487700988244
1500 20 0.0488119033178
1500 50 0.0488942827001
1500 100 0.0485412157001
1500 150 0.0484658981001
1500 500 0.0357934620783
1500 1000 4.08032453069e-06
2000 1 0.0139348225665
2000 10 0.0139540335777
2000 20 0.0139676314118
2000 50 0.01399504319
2000 100 0.01397216176
2000 150 0.01394295967
2000 500 0.012671852392
1995 1000 0.000729689653045
10000 1 1.19161364309e-08
10000 10 1.19314052769e-08
10000 20 1.17952972367e-08
10000 50 1.18388857948e-08
10000 100 1.17790132157e-08
10000 150 1.15848042141e-08
10000 500 9.56417074962e-09
10000 1000 6.59793071766e-09
