LHAPDF: 263400

import model Higgs_ZB_UFO
generate p p > h chi chi~ QED=3
set sp 0.3
set gDM 1
set gq 0.3333
set gZ  MMED

============================
MMED MDM Cross Section (pb)

10 1 3.38733748417
10 10 0.02121265944
10 20 0.004212511611
10 50 0.000364147394
10 100 3.1560935862e-05
10 150 5.59630789401e-06
10 500 8.0112028346e-09
10 1000 4.928522276e-11
20 1 3.4822788448
15 10 0.074282236399
20 20 0.020852312355
20 50 0.00151136541777
20 100 0.00012752565412
20 150 2.2467378598e-05
20 500 3.19186400774e-08
20 1000 1.96239597624e-10
50 1 4.18256698735
50 10 4.12985806972
50 20 3.44235766358
50 50 0.0127611006966
50 100 0.000865622972352
50 150 0.000146046295669
50 500 2.00338787076e-07
50 1000 1.22528097602e-09
100 1 4.06717325457
100 10 4.0640382565
100 20 3.99557270915
95 50 0.323820016299
100 100 0.00480512461175
100 150 0.00067866975705
100 500 8.139524025e-07
100 1000 4.925724328e-09
200 1 3.30936069882
200 10 3.28546232106
200 20 3.1632356648
200 50 2.6708618593
195 100 0.295341253947
200 150 0.00565542990002
200 500 3.47882441483e-06
200 1000 2.00755909014e-08
300 1 2.92214553221
300 10 2.91369070841
300 20 2.87596075977
300 50 2.52731683629
300 100 1.55451757046
295 150 0.206295381225
300 500 8.77181800171e-06
300 1000 4.66226201675e-08
400 1 1.98004473214
400 10 1.98122817933
400 20 1.9714752455
400 50 1.88383660732
400 100 1.41822847047
400 150 0.826431386076
400 500 1.84948946403e-05
400 1000 8.68028288034e-08
500 1 1.355056448
500 10 1.35547068921
500 20 1.35053111935
500 50 1.32442212405
500 100 1.18402486002
500 150 0.838798853762
500 500 3.6564871396e-05
500 1000 1.43587997321e-07
600 1 0.933388703862
600 10 0.931256083561
600 20 0.930829876651
600 50 0.925232718101
600 100 0.874235299075
600 150 0.74463741767
600 500 7.22935981741e-05
600 1000 2.22727850869e-07
700 1 0.6495876483
700 10 0.650737053011
700 20 0.649760815921
700 50 0.648312183762
700 100 0.628510303916
700 150 0.576267094644
700 500 0.000152570983652
700 1000 3.31120157093e-07
800 1 0.460409345669
800 10 0.458559729808
800 20 0.459450109392
800 50 0.459931825005
800 100 0.451521097319
800 150 0.429561968936
800 500 0.000372088144165
800 1000 4.80492384712e-07
900 1 0.329560480719
900 10 0.329620941001
900 20 0.329432547904
900 50 0.329180062254
900 100 0.326254015463
900 150 0.315855844305
900 500 0.00129238593658
900 1000 6.86995994931e-07
1000 1 0.239849405021
1000 10 0.240075333656
1000 20 0.240324878176
1000 50 0.239840152865
1000 100 0.238289059002
1000 150 0.232728679205
995 500 0.0132522688739
1000 1000 9.80182841828e-07
1100 1 0.17611745418
1100 10 0.176068954641
1100 20 0.176336380463
1100 50 0.175686419009
1100 100 0.17533947552
1100 150 0.172703734199
1100 500 0.0407429474736
1100 1000 1.39841812965e-06
1200 1 0.130918834353
1200 10 0.131085699854
1200 20 0.1309950791
1200 50 0.131208019021
1200 100 0.130405008949
1200 150 0.129486314501
1200 500 0.0499405938803
1200 1000 2.03509686515e-06
1300 1 0.0980796539766
1300 10 0.09827929738
1300 20 0.0980868110282
1300 50 0.0983946387888
1300 100 0.0978616040431
1300 150 0.0969258343401
1300 500 0.051337415713
1300 1000 2.9943188765e-06
1400 1 0.074333389567
1400 10 0.0740771924306
1400 20 0.0741658034396
1400 50 0.0742416529377
1400 100 0.0741340479247
1400 150 0.0732990449155
1400 500 0.0469078647183
1400 1000 4.54950344715e-06
1500 1 0.0564355545264
1500 10 0.0564227094374
1500 20 0.056421298803
1500 50 0.056472698608
1500 100 0.0561780236492
1500 150 0.0560875497816
1500 500 0.0401798882143
1500 1000 7.22747457576e-06
2000 1 0.0156949028075
2000 10 0.0156931274369
2000 20 0.0157006531679
2000 50 0.015700647128
2000 100 0.01571971968
2000 150 0.01568355398
2000 500 0.0140680487246
1995 1000 0.000776227551792
10000 1 1.83279534431e-08
10000 10 1.83946836777e-08
10000 20 1.84052752971e-08
10000 50 1.83524569825e-08
10000 100 1.81894052727e-08
10000 150 1.79559241792e-08
10000 500 1.42432316245e-08
10000 1000 9.04608110168e-09
