LHAPDF: 263400
import model DMsimp_s_spin1
generate p p > xd xd~ j / h w+ w- z a

      2 1.000000e+00 #   gvxd
      3 0.000000e+00 #   gaxd
      4 2.500000e-01 #   gvd11
      5 2.500000e-01 #   gvu11
      6 2.500000e-01 #   gvd22
      7 2.500000e-01 #   gvu22
      8 2.500000e-01 #   gvd33
      9 2.500000e-01 #   gvu33
      29 0.000000e+00 #   gvh      
      width of Y1 AUTO

============================
MMED MDM Cross Section (pb)


10 1 167169.5
10 10 2589.16
10 20 639.27
10 50 70.437
10 100 10.08686
10 150 2.899637
10 500 0.03576956
10 1000 0.0011238789
20 1 106574.2
15 10 3843.02
20 20 778.67
20 50 72.6381
20 100 10.1327
20 150 2.909948
20 500 0.03576842
20 1000 0.001124168
50 1 30748.2
50 10 30413.1
50 20 26739.6
50 50 92.3758
50 100 10.74121
50 150 2.984588
50 500 0.0358537
50 1000 0.0011255098
100 1 7066.39
100 10 7092.51
100 20 7027.4
95 50 514.573
100 100 13.51272
100 150 3.282744
100 500 0.03619852
100 1000 0.0011283504
200 1 1193.238
200 10 1188.426
200 20 1191.908
200 50 1169.281
195 100 130.195
200 150 5.35713
200 500 0.03757152
200 1000 0.001140859
300 1 374.891
300 10 375.934
300 20 375.193
300 50 371.998
300 100 349.791
295 150 50.70195
300 500 0.04011415
300 1000 0.0011597707
400 1 146.8536
400 10 146.7732
400 20 146.4202
400 50 145.799
400 100 143.0928
400 150 128.5412
400 500 0.04429488
400 1000 0.0011898505
500 1 71.055
500 10 71.1813
500 20 71.0346
500 50 70.8382
500 100 69.8172
500 150 67.003
500 500 0.05070751
500 1000 0.0012302303
600 1 38.83455
600 10 38.74824
600 20 38.8701
600 50 38.67615
600 100 38.30529
600 150 37.41115
600 500 0.06100137
600 1000 0.001280367
700 1 23.00806
700 10 22.89615
700 20 22.94559
700 50 22.84913
700 100 22.65956
700 150 22.27666
700 500 0.07878272
700 1000 0.0013444486
800 1 14.34777
800 10 14.34265
800 20 14.34238
800 50 14.21797
800 100 14.16494
800 150 14.01299
800 500 0.11440158
800 1000 0.0014258949
900 1 9.335261
900 10 9.334034
900 20 9.313891
900 50 9.317699
900 100 9.229516
900 150 9.113302
900 500 0.21536776
900 1000 0.0015264026
1000 1 6.292613
1000 10 6.288599
1000 20 6.294795
1000 50 6.264297
1000 100 6.214555
1000 150 6.164552
995 500 1.2362889
1000 1000 0.0016527178
1100 1 4.345328
1100 10 4.351963
1100 20 4.347527
1100 50 4.336423
1100 100 4.296757
1100 150 4.279351
1100 500 2.766883
1100 1000 0.0018201963
1200 1 3.06849
1200 10 3.073459
1200 20 3.069101
1200 50 3.057429
1200 100 3.043624
1200 150 3.018308
1200 500 2.328409
1200 1000 0.0020385986
1300 1 2.210684
1300 10 2.211582
1300 20 2.211331
1300 50 2.201291
1300 100 2.191969
1300 150 2.1745049
1300 500 1.8084906
1300 1000 0.0023189512
1400 1 1.6201653
1400 10 1.6199025
1400 20 1.6188381
1400 50 1.6168471
1400 100 1.6086222
1400 150 1.5917995
1400 500 1.377168
1400 1000 0.0027060519
1500 1 1.2054505
1500 10 1.2038144
1500 20 1.2037435
1500 50 1.1996746
1500 100 1.1933661
1500 150 1.1855564
1500 500 1.0501345
1500 1000 0.0032709848
2000 1 0.3156556
2000 10 0.3153198
2000 20 0.3152889
2000 50 0.31478444
2000 100 0.31175066
2000 150 0.30957736
2000 500 0.2867759
1995 1000 0.059937975
10000 1 5.167596e-05
10000 10 5.13562e-05
10000 20 5.087242e-05
10000 50 4.915567e-05
10000 100 4.628777e-05
10000 150 4.241605e-05
10000 500 2.0691201e-05
10000 1000 6.7385682e-06
