LHAPDF: 263400

import model Higgs_ZB_UFO
generate p p > xd xd~ j / h w+ w- z a
set sp 0.3
set gDM 1
set gq 0.25
set gZ  MMED
set WZp AUTO

============================
MMED MDM Cross Section (pb)

10 1 167384.44
10 10 2591.919
10 20 640.238
10 50 70.5224
10 100 10.078926
10 150 2.8833772
10 500 0.0357260219
10 1000 0.001127793659
20 1 106649.34
15 10 3844.913
20 20 779.1199
20 50 72.81573
20 100 10.152615
20 150 2.8965708
20 500 0.0357487927
20 1000 0.001127913907
50 1 30679.63
50 10 30473.24
50 20 26688.47
50 50 92.35371
50 100 10.755807
50 150 2.9749668
50 500 0.0358309396
50 1000 0.001127833712
100 1 7076.061
100 10 7100.798
100 20 7038.768
95 50 514.2863
100 100 13.535379
100 150 3.2751348
100 500 0.0362126923
100 1000 0.001131926194
200 1 1197.3733
200 10 1192.3481
200 20 1192.8037
200 50 1171.7014
195 100 129.9412
200 150 5.33732
200 500 0.0376335732
200 1000 0.001142085597
300 1 375.01294
300 10 375.10236
300 20 375.64906
300 50 371.67535
300 100 349.41978
295 150 50.573651
300 500 0.0401792829
300 1000 0.00116366896
400 1 146.71472
400 10 146.98441
400 20 146.80513
400 50 145.84862
400 100 142.65606
400 150 128.51004
400 500 0.0442761991
400 1000 0.001194484122
500 1 71.341499
500 10 71.281374
500 20 71.130259
500 50 70.806597
500 100 69.904209
500 150 67.207503
500 500 0.0507783726
500 1000 0.001230709996
600 1 38.965794
600 10 38.980997
600 20 38.861454
600 50 38.60085
600 100 38.198514
600 150 37.503251
600 500 0.0609547953
600 1000 0.00128383466
700 1 23.065397
700 10 22.980686
700 20 22.992455
700 50 22.882235
700 100 22.68565
700 150 22.30159
700 500 0.0788539088
700 1000 0.001348009304
800 1 14.3885263
800 10 14.3638075
800 20 14.3457341
800 50 14.2756472
800 100 14.1917982
800 150 13.979327
800 500 0.114404904
800 1000 0.001427581405
900 1 9.3548416
900 10 9.3613838
900 20 9.3423096
900 50 9.2735884
900 100 9.2358309
900 150 9.1525678
900 500 0.2154380113
900 1000 0.001531863093
1000 1 6.2974316
1000 10 6.3106144
1000 20 6.3016112
1000 50 6.2458903
1000 100 6.2224276
1000 150 6.1700223
995 500 1.244647293
1000 1000 0.001658493693
1100 1 4.3479416
1100 10 4.3601133
1100 20 4.3499376
1100 50 4.33059804
1100 100 4.31360183
1100 150 4.26327101
1100 500 2.76890836
1100 1000 0.001824405736
1200 1 3.08217894
1200 10 3.07851349
1200 20 3.07114497
1200 50 3.06035898
1200 100 3.04837269
1200 150 3.02187695
1200 500 2.32518545
1200 1000 0.002039983208
1300 1 2.22323879
1300 10 2.21860117
1300 20 2.21375369
1300 50 2.20732928
1300 100 2.19431439
1300 150 2.17823287
1300 500 1.81523891
1300 1000 0.002326667196
1400 1 1.6276301
1400 10 1.62388928
1400 20 1.6188956
1400 50 1.61275273
1400 100 1.6087482
1400 150 1.59774964
1400 500 1.38132909
1400 1000 0.002717411048
1500 1 1.20629936
1500 10 1.20344819
1500 20 1.2004514
1500 50 1.1978547
1500 100 1.19218539
1500 150 1.18287606
1500 500 1.0506987
1500 1000 0.003273726921
2000 1 0.315499596
2000 10 0.314910815
2000 20 0.314867843
2000 50 0.314447131
2000 100 0.311114911
2000 150 0.309308257
2000 500 0.285524614
1995 1000 0.06000608269
10000 1 5.1589933e-05
10000 10 5.1462236e-05
10000 20 5.0792371e-05
10000 50 4.9379921e-05
10000 100 4.6168294e-05
10000 150 4.2471661e-05
10000 500 2.075412713e-05
10000 1000 6.770054593e-06
