Requirement: genMET> 200 GeV, generator-level Higgs boson pT>200 GeV, |eta|<2.4
LHAPDF: 263400

import model Higgs_ZB_UFO
generate p p > h chi chi~ QED=3
set sp 0.3
set gDM 1
set gq 0.25
set gZ  MMED

============================
MMED MDM Efficiency Error

10 1 0.05245 0.00157637
10 10 0.0505 0.00154838
10 20 0.0485 0.00151901
10 50 0.07415 0.00185272
10 100 0.1448 0.0024883
10 150 0.2287 0.00296982
10 500 0.5602 0.00350981
10 1000 0.7075 0.0032167
20 1 0.0489 0.00152494
15 10 0.0438 0.00144709
20 20 0.0454 0.00147205
20 50 0.072 0.00182779
20 100 0.14955 0.00252175
20 150 0.22845 0.00296867
20 500 0.55975 0.0035102
20 1000 0.70425 0.00322709
50 1 0.03955 0.00137815
50 10 0.0408 0.00139885
50 20 0.0377 0.00134682
50 50 0.0697 0.00180058
50 100 0.1452 0.00249115
50 150 0.22335 0.00294504
50 500 0.56165 0.00350856
50 1000 0.70535 0.0032236
100 1 0.04225 0.00142241
100 10 0.04185 0.00141596
100 20 0.0431 0.00143601
95 50 0.05005 0.00154183
100 100 0.13685 0.00243025
100 150 0.21945 0.00292653
100 500 0.56315 0.00350722
100 1000 0.70215 0.00323369
200 1 0.05645 0.00163192
200 10 0.05565 0.001621
200 20 0.05585 0.00162374
200 50 0.0662 0.00175809
195 100 0.0807 0.00192597
200 150 0.1946 0.00279938
200 500 0.5525 0.00351599
200 1000 0.7041 0.00322756
300 1 0.0564 0.00163124
300 10 0.0553 0.0016162
300 20 0.0589 0.00166479
300 50 0.0658 0.00175315
300 100 0.0967 0.00208985
295 150 0.12 0.00229783
300 500 0.55215 0.00351625
300 1000 0.70435 0.00322677
400 1 0.06615 0.00175747
400 10 0.067 0.00176792
400 20 0.0663 0.00175932
400 50 0.07005 0.00180476
400 100 0.0847 0.00196883
400 150 0.12805 0.00236277
400 500 0.54565 0.00352077
400 1000 0.7091 0.00321152
500 1 0.0867 0.00198976
500 10 0.0842 0.00196355
500 20 0.0854 0.00197619
500 50 0.0816 0.00193574
500 100 0.08535 0.00197567
500 150 0.10695 0.00218531
500 500 0.53245 0.00352808
500 1000 0.697 0.00324955
600 1 0.11755 0.00227741
600 10 0.1233 0.00232483
600 20 0.1207 0.0023036
600 50 0.1206 0.00230278
600 100 0.10715 0.00218711
600 150 0.1073 0.00218846
600 500 0.52105 0.0035324
600 1000 0.6985 0.00324498
700 10 0.1622 0.00260664
700 20 0.1629 0.00261116
700 50 0.16205 0.00260567
700 100 0.15105 0.00253213
700 150 0.1338 0.00240726
700 500 0.49995 0.00353553
700 1000 0.69905 0.00324329
800 1 0.2023 0.00284055
800 10 0.2052 0.00285563
800 20 0.2046 0.00285253
800 50 0.20305 0.00284447
800 100 0.19335 0.00279254
800 150 0.1783 0.00270656
800 500 0.47 0.00352916
800 1000 0.7057 0.00322248
900 1 0.23815 0.00301193
900 10 0.23945 0.00301756
900 20 0.23505 0.00299835
900 50 0.24135 0.00302572
900 100 0.2292 0.0029721
900 150 0.2184 0.00292148
900 500 0.4103 0.00347817
900 1000 0.6861 0.00328151
1000 1 0.2769 0.00316407
1000 10 0.2739 0.0031534
1000 20 0.2711 0.00314328
1000 50 0.2693 0.0031367
1000 100 0.2636 0.00311541
1000 150 0.2596 0.00310006
995 500 0.3236 0.00330819
1000 1000 0.68335 0.00328925
1100 1 0.3028 0.00324894
1100 10 0.3027 0.00324864
1100 20 0.29915 0.00323774
1100 50 0.29635 0.00322898
1100 100 0.29695 0.00323087
1100 150 0.29075 0.00321103
1100 500 0.2876 0.00320067
1100 1000 0.67665 0.00330753
1200 1 0.32115 0.00330161
1200 10 0.3255 0.00331323
1200 20 0.32845 0.00332092
1200 50 0.32565 0.00331362
1200 100 0.31915 0.00329616
1200 150 0.321 0.0033012
1200 500 0.24255 0.00303084
1200 1000 0.66795 0.00333011
1300 1 0.35105 0.00337501
1300 10 0.35505 0.00338371
1300 20 0.35115 0.00337523
1300 50 0.3455 0.00336251
1300 100 0.3496 0.00337179
1300 150 0.3473 0.00336662
1300 500 0.2284 0.00296845
1300 1000 0.66925 0.00332682
1400 1 0.3753 0.00342381
1400 10 0.3749 0.00342308
1400 20 0.3699 0.00341375
1400 50 0.3749 0.00342308
1400 100 0.3715 0.00341678
1400 150 0.36795 0.00341001
1400 500 0.25915 0.00309832
1400 1000 0.6583 0.00335366
1500 1 0.3894 0.00344795
1500 10 0.39365 0.00345463
1500 20 0.39045 0.00344963
1500 50 0.3957 0.00345776
1500 100 0.3895 0.00344811
1500 150 0.3902 0.00344923
1500 500 0.2977 0.00323322
1500 1000 0.64435 0.00338499
2000 1 0.46955 0.00352897
2000 10 0.4782 0.00353217
2000 20 0.4782 0.00353217
2000 50 0.4754 0.00353125
2000 100 0.47375 0.00353066
2000 150 0.4726 0.00353022
2000 500 0.44985 0.00351771
1995 1000 0.4392 0.0035093
10000 1 0.8263 0.00267888
10000 10 0.8202 0.00271544
10000 20 0.8272 0.00267339
10000 50 0.8259 0.00268132
10000 100 0.8293 0.00266047
10000 150 0.8297 0.00265799
10000 500 0.85145 0.00251478
10000 1000 0.86815 0.00239234
